strategy_code,strategy,comparison_code,include,strategy_specific_costs,entc_enfu_production_cost_calculation,entc_air_pollution_cost_calculation,trns_air_pollution_cost_calculation,trns_congestion_cost_calculation,trns_road_safety_cost_calculation,trns_passenger_transport_cost_calculation,trns_freight_transport_cost_calculation,inen_air_pollution_cost_calculation,ippu_avoided_production_cost_calculation,ghg_effects_calculation
SCOE:ALL_REP,SCOE: All Stationary Combustion and Other Energy transformations with renewable energy production,ENTC:RENEWABLE_ELEC_TARGET,0,0,,,,,,,,,,
SCOE:ALL,SCOE: All Stationary Combustion and Other Energy transformations,BASE,0,0,,,,,,,,,,
INEN:INC_EFFICIENCY_PRODUCTION_REP,INEN: Maximize industrial production efficiency with renewable energy production,ENTC:RENEWABLE_ELEC_TARGET,0,0,1,1,0,0,0,0,0,1,,1
INEN:INC_EFFICIENCY_PRODUCTION,INEN: Maximize industrial production efficiency,BASE,0,0,1,1,0,0,0,0,0,1,,1
INEN:INC_EFFICIENCY_ENERGY_REP,INEN: Maximize industrial energy efficiency with renewable energy production,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,0,0,0,0,0,1,,1
INEN:INC_EFFICIENCY_ENERGY,INEN: Maximize industrial energy efficiency,BASE,1,1,1,1,0,0,0,0,0,1,,1
INEN:FUEL_SWITCH_LO_HEAT_REP,INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,0,0,0,0,0,1,,1
INEN:FUEL_SWITCH_LO_HEAT,INEN: Fuel switch low-temp thermal processes to industrial heat pumps,BASE,1,1,1,1,0,0,0,0,0,1,,1
INEN:FUEL_SWITCH_HI_HEAT_REP,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,0,0,0,0,0,1,,1
INEN:FUEL_SWITCH_HI_HEAT,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,BASE,1,1,1,1,0,0,0,0,0,1,,1
INEN:ALL_REP,INEN: All Industrial Energy transformations with renewable energy production,ENTC:RENEWABLE_ELEC_TARGET,0,0,,,,,,,,,,
INEN:ALL,INEN: All Industrial Energy transformations,BASE,0,0,,,,,,,,,,
ENTC:RENEWABLE_ELEC_TARGET,ENTC: 95% of electricity is generated by renewables in 2050,BASE,1,0,1,1,0,0,0,0,0,0,,1
ENTC:LEAST_COST,ENTC: Least cost solution,BASE,1,0,1,1,0,0,0,0,0,0,,1
ENTC:REDUCE_LOSSES,ENTC: Reduce transmission losses,BASE,1,1,1,1,0,0,0,0,0,0,,1
ENTC:REDUCE_LOSSES_REP,ENTC: Reduce transmission losses with renewable energy production,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,0,0,0,0,0,0,,1
IPPU:DEC_DEMAND,IPPU: Demand management,BASE,1,0,1,1,0,0,0,0,0,0,1,1
IPPU:DEC_CLINKER,IPPU: Reduce cement clinker,BASE,1,1,1,1,0,0,0,0,0,0,0,1
IPPU:BUNDLE_DEC_FGAS,IPPU: Reduce fluorinated gasses bundle,BASE,1,1,0,0,0,0,0,0,0,0,0,1
IPPU:DEC_N2O,IPPU: Reduce Nitrous Oxide emissions,BASE,1,1,0,0,0,0,0,0,0,0,0,1
IPPU:DEC_OTHER_FCS,IPPU: Reduce other fluorinated compounds,BASE,1,1,0,0,0,0,0,0,0,0,0,1
IPPU:DEC_HFCS,IPPU: Reduce use of HFCs,BASE,1,1,0,0,0,0,0,0,0,0,0,1
IPPU:DEC_PFCS,IPPU: Reduce use of PFCs,BASE,1,1,0,0,0,0,0,0,0,0,0,1
