"","region","time_period","strategy_code","difference_variable","difference_value","variable","value"
"1","brazil",0,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",0,"technical_cost_electrification_LDV",0
"2","brazil",1,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",0,"technical_cost_electrification_LDV",0
"3","brazil",10,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",0,"technical_cost_electrification_LDV",0
"4","brazil",11,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",12692871056.3449,"technical_cost_electrification_LDV",155343139.859119
"5","brazil",12,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",26107118823.8835,"technical_cost_electrification_LDV",287563437.263068
"6","brazil",13,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",40244924056.6484,"technical_cost_electrification_LDV",398959069.170833
"7","brazil",14,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",55108375034.588,"technical_cost_electrification_LDV",491674114.696605
"8","brazil",15,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",70699473225.9626,"technical_cost_electrification_LDV",567699388.658562
"9","brazil",16,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",86939250799.132,"technical_cost_electrification_LDV",628290729.044336
"10","brazil",17,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",103883569164.846,"technical_cost_electrification_LDV",675669211.843087
"11","brazil",18,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",121534250988.755,"technical_cost_electrification_LDV",711423924.051797
"12","brazil",19,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_vehicle_distance_traveled_trns_road_light_electricity",139893057227.514,"technical_cost_electrification_LDV",737001628.920624
